incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
619324-17072012,Winter,6990,2,Office Hours,apartment,Work_days,0,6,0,100
619329-17072012,Winter,6990,3,Office Hours,apartment,Work_days,0,2,0,100
619332-17072012,Winter,6990,4,Office Hours,apartment,Work_days,0,2,0,100
619334-17072012,Winter,6990,5,Cooking-time,apartment,Work_days,0,1,0,100
619336-17072012,Winter,6990,6,Cooking-time,apartment,Work_days,0,1,0,100
619344-17072012,Winter,6990,7,Cooking-time,apartment,Work_days,0,1,0,100
619378-17072012,Winter,1100,1,Cooking-time,shopping_mall,Work_days,0,3,0,100
619610-18072012,Winter,6990,8,Cooking-time,apartment,Work_days,0,1,0,100
620110-19072012,Winter,1100,0,Office Hours,hotel,Work_days,0,7,0,100
620336-19072012,Winter,6990,2,Cooking-time,school,Work_days,0,2,0,100
620418-19072012,Winter,6990,3,Cooking-time,school,Work_days,0,1,0,100
620475-20072012,Winter,1100,1,Night-time,office,Work_days,0,4,0,100
620635-20072012,Winter,6990,2,Office Hours,others,Work_days,0,9,0,100
620889-20072012,Winter,1100,0,Cooking-time,restaurant,Work_days,0,1,0,100
620945-20072012,Winter,6900,2,Cooking-time,hospital,Work_days,0,10,0,100
621071-21072012,Winter,6200,0,Night-time,office,Week_ends,0,2,0,100
621079-21072012,Winter,6200,1,Night-time,office,Week_ends,0,1,0,100
621108-21072012,Winter,6990,0,Cooking-time,industry_facility,Week_ends,0,20,0,100
621267-21072012,Winter,6110,1,Cooking-time,school,Week_ends,0,9,0,100
