incident_number,season,alarm_type,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
035151-21022014,Summer,6900,10,Work_days,0,1,0,100
037114-25022014,Summer,2270,0,Work_days,0,3,0,100
040676-04032014,Autumn,6990,5,Work_days,0,4,0,100
040727-04032014,Autumn,6990,6,Work_days,0,3,0,100
046229-14032014,Autumn,6100,4,Work_days,0,10,0,100
056109-30032014,Autumn,6120,0,Week_ends,0,3,0,100
062375-12042014,Autumn,1110,0,Week_ends,0,1,0,100
068080-23042014,Autumn,6200,5,Work_days,0,3,0,100
073908-04052014,Autumn,1100,3,Week_ends,0,3,0,100
074018-04052014,Autumn,6900,6,Week_ends,0,3,0,100
075421-06052014,Autumn,1100,8,Work_days,0,1,0,100
075447-07052014,Autumn,1100,9,Work_days,0,1,0,100
075454-07052014,Autumn,1100,10,Work_days,0,1,0,100
075565-07052014,Autumn,1100,11,Work_days,0,1,0,100
080909-17052014,Autumn,1100,5,Week_ends,0,2,0,100
080964-17052014,Autumn,1100,6,Week_ends,0,1,0,100
080982-17052014,Autumn,1100,7,Week_ends,0,1,0,100
100675-23062014,Winter,6900,6,Work_days,0,4,0,100
100733-24062014,Winter,6900,7,Work_days,0,4,0,100
105216-01072014,Winter,2270,0,Work_days,0,4,0,100
109629-08072014,Winter,6900,8,Work_days,0,2,0,100
115841-18072014,Winter,1130,0,Work_days,0,1,0,100
116189-19072014,Winter,6990,8,Week_ends,0,1,0,100
122314-29072014,Winter,1900,1,Work_days,0,1,0,100
130992-10082014,Winter,6200,3,Week_ends,0,1,0,100
144514-04092014,Spring,6100,4,Work_days,0,2,0,100
144797-05092014,Spring,1200,1,Work_days,0,2,0,100
